Spanish,English
la,the
que,what
el,the
en,on
a,to
los,the
del,of
se,I know
las,the
por,for
un,a
con,with
no,not
una,a
su,its
al,to the
lo,it
como,What
más,more
o,or
este,this
pero,but
sus,their
esta,is
si,Yes
ha,ha
me,I
ya,already
le,you
sobre,on
fue,It was
todo,everything
también,also
desde,since
cuando,when
muy,very
años,years
está,this
todos,everyone
hay,there are
tiene,have
nos,us
porque,because
dos,two
donde,where
parte,part
así,So
puede,can
mi,me
cada,each
uno,one
vez,time
bien,well
hace,makes
trabajo,job
nacional,national
estado,condition
otros,others
gobierno,government
mismo,same
ese,that
hacer,make
país,country
yo,me
durante,during
día,day
tanto,so much
vida,lifetime
esto,this
forma,shape
estos,these
sólo,alone
personas,people
otro,other
ahora,now
hoy,today
era,it was
caso,case
están,is it so
les,them
mejor,best
lugar,place
qué,what
quien,who
